date,city,diff
2007-04-01,高雄市,86.0
2007-05-01,高雄市,149.0
2007-06-01,高雄市,625.0
2007-07-01,高雄市,983.0
2007-08-01,高雄市,715.0
2007-09-01,高雄市,417.0
2007-10-01,高雄市,587.0
2007-11-01,高雄市,689.0
2007-12-01,高雄市,1080.0
2008-01-01,高雄市,412.0
2008-02-01,高雄市,447.0
2008-03-01,高雄市,57.0
2008-04-01,高雄市,22.0
2008-05-01,高雄市,42.0
2008-06-01,高雄市,495.0
2008-07-01,高雄市,306.0
2008-08-01,高雄市,106.0
2008-09-01,高雄市,-17.0
2008-10-01,高雄市,620.0
2008-11-01,高雄市,985.0
2008-12-01,高雄市,711.0
2009-01-01,高雄市,812.0
2009-02-01,高雄市,-73.0
2009-03-01,高雄市,257.0
2009-04-01,高雄市,-536.0
2009-05-01,高雄市,-327.0
2009-06-01,高雄市,-115.0
2009-07-01,高雄市,342.0
2009-08-01,高雄市,-672.0
2009-09-01,高雄市,-25.0
2009-10-01,高雄市,753.0
2009-11-01,高雄市,735.0
2009-12-01,高雄市,682.0
2010-01-01,高雄市,102.0
2010-02-01,高雄市,106.0
2010-03-01,高雄市,196.0
2010-04-01,高雄市,189.0
2010-05-01,高雄市,185.0
2010-06-01,高雄市,-983.0
2010-07-01,高雄市,1667.0
2010-08-01,高雄市,519.0
2010-09-01,高雄市,-91.0
2010-10-01,高雄市,215.0
2010-11-01,高雄市,600.0
2010-12-01,高雄市,-109.0
2011-01-01,高雄市,-50.0
2011-02-01,高雄市,-504.0
2011-03-01,高雄市,-95.0
2011-04-01,高雄市,147.0
2011-05-01,高雄市,-131.0
2011-06-01,高雄市,-389.0
2011-07-01,高雄市,186.0
2011-08-01,高雄市,191.0
2011-09-01,高雄市,319.0
2011-10-01,高雄市,369.0
2011-11-01,高雄市,329.0
2011-12-01,高雄市,615.0
2012-01-01,高雄市,455.0
2012-02-01,高雄市,-94.0
2012-03-01,高雄市,-245.0
2012-04-01,高雄市,63.0
2012-05-01,高雄市,81.0
2012-06-01,高雄市,752.0
2012-07-01,高雄市,252.0
2012-08-01,高雄市,470.0
2012-09-01,高雄市,346.0
2012-10-01,高雄市,578.0
2012-11-01,高雄市,769.0
2012-12-01,高雄市,762.0
2013-01-01,高雄市,139.0
2013-02-01,高雄市,298.0
2013-03-01,高雄市,-160.0
2013-04-01,高雄市,-143.0
2013-05-01,高雄市,127.0
2013-06-01,高雄市,172.0
2013-07-01,高雄市,324.0
2013-08-01,高雄市,32.0
2013-09-01,高雄市,-202.0
